numero_processo,dias_desde_ajuizamento,ano_ajuizamento,mes_ajuizamento,trimestre_ajuizamento,dia_semana_ajuizamento,grau,classe_categoria,tipo_vara,municipio_fortaleza,sistema,formato,qtd_assuntos,tem_medicamento,tem_tutela_urgencia,tem_obrigacao_fazer,tem_dano_moral,area_saude,assunto_principal,qtd_movimentos,velocidade_movimentos,movimentos_recentes,tipo_distribuicao,complexidade_score,tem_recurso,sexo_juiz,sexo_requerente,sentenca_favoravel,status
02381164620238060001,19,2025,8,3,4,G2,Apelação Cível,Outros,0,Pje,Eletrônico,3,1,0,0,1,1,Indenização por Dano Moral,3,0.1579,0,sorteio,9,1,M,F,False,sucesso
02424846420248060001,68,2025,8,3,2,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,11,0.1618,0,Desconhecido,22,1,F,F,False,sucesso
02187331420258060001,68,2025,8,3,2,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,18,0.2647,0,sucessão,36,1,F,M,True,sucesso
02162085920258060001,74,2025,7,3,3,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,20,0.2703,0,Desconhecido,40,1,F,M,True,sucesso
02001989620248060122,42,2025,7,3,2,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,9,0.2143,0,sorteio,9,1,M,F,True,sucesso
02741941020218060001,43,2025,7,3,1,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,6,0.1395,0,Desconhecido,6,1,F,F,True,sucesso
02741941020218060001,18,2025,7,3,1,G2,Apelação Cível,Outros,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,3,0.1667,0,Desconhecido,3,1,F,F,True,sucesso
02136618020248060001,44,2025,7,3,0,G2,Apelação Cível,Outros,0,Pje,Eletrônico,2,1,0,0,0,1,Tutela de Urgência,9,0.2045,0,sorteio,18,1,M,F,True,sucesso
02136618020248060001,19,2025,7,3,0,G2,Apelação Cível,Outros,0,Pje,Eletrônico,2,1,0,0,0,1,Fornecimento de medicamentos,4,0.2105,0,sorteio,8,1,M,F,True,sucesso
02670126520248060001,103,2025,7,3,2,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,20,0.1942,0,Desconhecido,40,1,F,F,False,sucesso
02739610820248060001,105,2025,6,2,0,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,14,0.1333,0,Desconhecido,28,1,F,M,False,sucesso
02820545720248060001,77,2025,6,2,2,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Obrigação de Fazer / Não Fazer,25,0.3247,0,Desconhecido,50,1,F,M,False,sucesso
02187331420258060001,81,2025,6,2,5,G1,Outros,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,29,0.358,0,sorteio,29,0,F,M,True,sucesso
02721862620228060001,39,2025,6,2,0,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,6,0.1538,0,Desconhecido,6,1,F,M,False,sucesso
02189408120238060001,42,2025,5,2,4,G2,Apelação Cível,Outros,0,Pje,Eletrônico,4,1,0,1,1,1,Tutela de Urgência,8,0.1905,0,Desconhecido,32,1,M,F,True,sucesso
02162085920258060001,87,2025,5,2,2,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,35,0.4023,0,Desconhecido,35,0,F,M,True,sucesso
02085143920258060001,150,2025,5,2,4,G2,Apelação Cível,Outros,0,SAJ,Eletrônico,2,1,0,1,0,1,Fornecimento de medicamentos,16,0.1067,0,Desconhecido,32,1,F,F,False,sucesso
02173827420238060001,133,2025,4,2,2,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,33,0.2481,0,Desconhecido,33,1,F,F,False,sucesso
02252471720248060001,138,2025,3,1,0,G2,Apelação Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,22,0.1594,0,Desconhecido,22,1,M,Indefinido,False,sucesso
02096212120258060001,155,2025,3,1,4,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,24,0.1548,0,Desconhecido,24,0,F,F,True,sucesso
02085143920258060001,96,2025,3,1,3,G1,Outros,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,31,0.3229,0,Desconhecido,31,0,F,F,False,sucesso
02077652220258060001,104,2025,2,1,2,G1,Procedimento Comum Cível,Infância_Juventude,1,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,28,0.2692,0,Desconhecido,28,0,F,F,True,sucesso
