numero_processo,tipo_decisao
02187331420258060001,Procedência
30048329320258060167,Procedência
02162085920258060001,Procedência
30355412720258060001,Procedência
30022788520258060071,Procedência
30292622520258060001,Procedência
30012724320258060071,Procedência
30193154420258060001,Procedência
30186884020258060001,Procedência
30182752720258060001,Procedência
02096212120258060001,Procedência
30145494520258060001,Procedência
02077652220258060001,Procedência
30121824820258060001,Procedência
30104520220258060001,Procedência
02055767120258060001,Procedência
02054250820258060001,Procedência
30084558120258060001,Procedência
02046802820258060001,Procedência
02041476920258060001,Procedência
02621834120248060001,Procedência
02612489820248060001,Procedência
02609544620248060001,Procedência
30198137720248060001,Procedência
02595505720248060001,Procedência
02587668020248060001,Procedência
30001453320248060030,Procedência
02578938020248060001,Procedência
02580530820248060001,Procedência
02567210620248060001,Procedência
02567332020248060001,Procedência
30007057620248060158,Procedência
02560845520248060001,Procedência
02555865620248060001,Procedência
02545109420248060001,Procedência
02540301920248060001,Procedência
02534144420248060001,Procedência
02534023020248060001,Procedência
02533599320248060001,Procedência
02533823920248060001,Procedência
02397608720248060001,Procedência
02392151720248060001,Procedência
30009097820248060075,Procedência
02372198120248060001,Procedência
02370517920248060001,Procedência
02370725520248060001,Procedência
02027941520248060167,Procedência
02354868020248060001,Procedência
02341451920248060001,Procedência
02341114420248060001,Procedência
02336792520248060001,Procedência
02333086120248060001,Procedência
02003828720248060175,Procedência
02314214220248060001,Procedência
02314915920248060001,Procedência
02315678320248060001,Procedência
02003043920248060096,Procedência
30010584020248060151,Procedência
02307926820248060001,Procedência
02304886920248060001,Procedência
02153142020248060001,Procedência
02148387920248060001,Procedência
30004032820248060035,Procedência
30001127420248060052,Procedência
02139310720248060001,Procedência
02136618020248060001,Procedência
02135353020248060001,Procedência
02132763520248060001,Procedência
30001023020248060052,Procedência
30001049720248060052,Procedência
02128416120248060001,Procedência
02126589020248060001,Procedência
02127783620248060001,Procedência
02121972120248060001,Procedência
02117408620248060001,Procedência
02110939120248060001,Procedência
02110687820248060001,Procedência
02001989620248060122,Procedência
02109146020248060001,Procedência
02104149120248060001,Procedência
02831037020238060001,Procedência
02017280220238060113,Procedência
02824628220238060001,Procedência
02824471620238060001,Procedência
02005843320238060132,Procedência
02811559320238060001,Procedência
02811524120238060001,Procedência
02811220620238060001,Procedência
02811195120238060001,Procedência
30007642820238060052,Procedência
02800759420238060001,Procedência
30009160620238060043,Procedência
30007046020238060115,Procedência
02002846920238060068,Procedência
02785654620238060001,Procedência
02782242020238060001,Procedência
02005531320238060132,Procedência
02776352820238060001,Procedência
02773677120238060001,Procedência
30359689220238060001,Procedência
30004571020238060041,Procedência
02053379320238060112,Procedência
02601164020238060001,Procedência
02588120620238060001,Procedência
02584518620238060001,Procedência
02584795420238060001,Procedência
02584198120238060001,Procedência
02580188220238060001,Procedência
02574238320238060001,Procedência
30001782920238060104,Procedência
02565135620238060001,Procedência
02561559120238060001,Procedência
02559627620238060001,Procedência
02559878920238060001,Procedência
02561775220238060001,Procedência
02557514020238060001,Procedência
02557696120238060001,Procedência
02026247420238060071,Procedência
02547294420238060001,Procedência
02545328920238060001,Procedência
30004516020238060119,Procedência
30004507520238060119,Procedência
02426079620238060001,Procedência
02422571120238060001,Procedência
