numero_processo,dias_desde_ajuizamento,ano_ajuizamento,mes_ajuizamento,trimestre_ajuizamento,dia_semana_ajuizamento,grau,classe_categoria,tipo_vara,municipio_fortaleza,sistema,formato,qtd_assuntos,tem_medicamento,tem_tutela_urgencia,tem_obrigacao_fazer,tem_dano_moral,area_saude,assunto_principal,qtd_movimentos,velocidade_movimentos,movimentos_recentes,tipo_distribuicao,complexidade_score,tem_recurso
30854495320258060001,13,2025,9,3,1,G1,Outros,Fazenda_Publica,1,Pje,Eletrônico,2,1,0,1,0,1,Obrigação de Fazer / Não Fazer,2,0.1538,0,sorteio,4,0
02257145920258060001,13,2025,9,3,1,G1,Procedimento Comum Cível,Outros,0,SAJ,Eletrônico,2,1,0,0,0,1,Erro Médico,2,0.1538,0,sorteio,4,0
30052433620258060071,16,2025,9,3,5,G1,Procedimento Comum Cível,Outros,0,Pje,Eletrônico,2,1,0,0,0,1,Fornecimento de medicamentos,2,0.125,0,Desconhecido,4,0
02068081820258060293,17,2025,9,3,4,G1,Procedimento Comum Cível,Outros,0,SAJ,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,16,0.9412,0,Desconhecido,16,0
30834471320258060001,18,2025,9,3,3,G1,Procedimento Comum Cível,Fazenda_Publica,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,6,0.3333,0,Desconhecido,6,0
30034125320258060070,18,2025,9,3,3,G1,Procedimento do Juizado Especial da Fazenda Pública,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,5,0.2778,0,Desconhecido,5,0
30830790420258060001,19,2025,9,3,2,G1,Procedimento Comum Cível,Fazenda_Publica,1,Pje,Eletrônico,2,1,0,0,0,1,Fornecimento de medicamentos,6,0.3158,0,sorteio,12,0
30027511420258060090,21,2025,9,3,0,G1,Procedimento Comum Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,17,0.8095,0,Desconhecido,17,0
30027502920258060090,21,2025,9,3,0,G1,Procedimento Comum Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,6,0.2857,0,Desconhecido,6,0
30063318320258060112,25,2025,9,3,3,G1,Procedimento Comum Cível,Outros,0,Pje,Eletrônico,3,1,0,1,0,1,Obrigação de Fazer / Não Fazer,2,0.08,0,Desconhecido,6,0
30803587920258060001,25,2025,9,3,3,G1,Procedimento Comum Cível,Fazenda_Publica,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,10,0.4,0,Desconhecido,10,0
30042518220258060101,25,2025,9,3,3,G1,Procedimento Comum Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,5,0.2,0,sorteio,5,0
30050116120258060091,26,2025,9,3,2,G1,Procedimento Comum Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,3,0.1154,0,Desconhecido,3,0
30797741220258060001,26,2025,9,3,2,G1,Procedimento Comum Cível,Outros,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,11,0.4231,0,Desconhecido,11,0
30022122220258060034,28,2025,9,3,0,G1,Procedimento Comum Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,3,0.1071,0,Desconhecido,3,0
30775422720258060001,31,2025,9,3,4,G1,Procedimento Comum Cível,Outros,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,9,0.2903,0,Desconhecido,9,0
30031751920258060070,31,2025,9,3,4,G1,Procedimento Comum Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,8,0.2581,0,Desconhecido,8,0
30021159220258060043,32,2025,9,3,3,G1,Procedimento Comum Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,13,0.4062,0,Desconhecido,13,0
30061022620258060112,32,2025,9,3,3,G1,Procedimento Comum Cível,Outros,0,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,2,0.0625,0,Desconhecido,2,0
30772910920258060001,32,2025,9,3,3,G1,Outros,Fazenda_Publica,1,Pje,Eletrônico,1,1,0,0,0,1,Fornecimento de medicamentos,12,0.375,0,sorteio,12,0
